trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('story', 'private', 'story')",6
,,"('enjoy', 'this', 'application')",6
,,"('ago', 'sent', 'message')",6
,,"('even', 'though', 'not')",6
,,"('update', 'snapshot', 'not')",6
,,"('new', 'update', 'good')",6
,,"('this', 'application', 'much')",6
,,"('update', 'suck', 'this')",6
,,"('not', 'edit', 'picture')",6
,,"('made', 'this', 'application')",6
,,"('people', 'opened', 'message')",6
,,"('one', 'please', 'fix')",6
,,"('anymore', 'please', 'fix')",6
,,"('photo', 'in', 'chat')",6
,,"('make', 'picture', 'look')",6
,,"('this', 'application', 'frustrating')",6
,,"('application', 'get', 'worse')",6
,,"('try', 'take', 'video')",6
,,"('not', 'let', 'put')",6
,,"('camera', 'roll', 'private')",6
,,"('roll', 'private', 'story')",6
,,"('hope', 'fix', 'this')",6
,,"('update', 'absolutely', 'terrible')",6
,,"('minute', 'ago', 'sent')",6
,,"('minute', 'ago', 'even')",6
,,"('even', 'take', 'picture')",6
,,"('need', 'fixed', 'soon')",6
,,"('update', 'not', 'allow')",6
,,"('application', 'recent', 'update')",6
,,"('newest', 'update', 'newest')",6
,,"('not', 'see', 'writing')",6
,,"('new', 'update', 'bug')",6
,,"('camera', 'roll', 'in')",6
,,"('phone', 'not', 'let')",6
,,"('take', 'picture', 'picture')",6
,,"('read', 'message', 'not')",6
,,"('new', 'update', 'messed')",6
,,"('since', 'this', 'new')",6
,,"('update', 'doe', 'work')",6
,,"('application', 'not', 'phone')",6
,,"('people', 'opened', 'snap')",6
,,"('min', 'ago', 'sent')",6
,,"('tell', 'someone', 'opened')",6
,,"('phone', 'every', 'time')",6
,,"('keep', 'crashing', 'please')",6
,,"('installed', 'this', 'application')",6
,,"('using', 'snapshot', 'year')",6
,,"('not', 'load', 'properly')",6
,,"('not', 'see', 'memory')",6
,,"('every', 'time', 'take')",6
,,"('really', 'not', 'like')",6
,,"('roll', 'into', 'eye')",6
,,"('not', 'see', 'trophy')",6
,,"('send', 'someone', 'message')",6
,,"('tried', 'uninstaling', 'installing')",6
,,"('not', 'get', 'update')",6
,,"('not', 'load', 'please')",6
,,"('doe', 'new', 'update')",6
,,"('video', 'call', 'not')",6
,,"('snapshot', 'not', 'work')",6
,,"('snapshot', 'not', 'let')",6
,,"('old', 'version', 'not')",6
,,"('application', 'not', 'work')",6
,,"('open', 'message', 'not')",6
,,"('ever', 'since', 'got')",6
,,"('stop', 'changing', 'thing')",6
,,"('not', 'know', 'new')",6
,,"('saying', 'application', 'updating')",6
,,"('in', 'group', 'chat')",6
,,"('new', 'update', 'always')",6
,,"('having', 'this', 'issue')",6
,,"('this', 'application', 'slow')",6
,,"('application', 'android', 'user')",6
,,"('keep', 'saying', 'application')",6
,,"('ever', 'since', 'recent')",6
,,"('send', 'snap', 'anymore')",6
,,"('time', 'try', 'send')",6
,,"('updating', 'not', 'let')",6
,,"('still', 'not', 'got')",6
,,"('every', 'time', 'go')",6
,,"('memory', 'not', 'loading')",6
,,"('update', 'recent', 'update')",6
,,"('try', 'send', 'snap')",6
,,"('application', 'not', 'save')",6
,,"('let', 'sign', 'in')",6
,,"('make', 'this', 'application')",6
,,"('video', 'please', 'fix')",6
,,"('not', 'use', 'this')",6
,,"('snapshot', 'not', 'update')",6
,,"('every', 'time', 'update')",6
,,"('not', 'even', 'download')",6
,,"('love', 'snapshot', 'not')",6
,,"('update', 'snapshot', 'doe')",6
,,"('log', 'back', 'into')",6
,,"('people', 'private', 'story')",6
,,"('group', 'chat', 'not')",6
,,"('one', 'doe', 'not')",6
,,"('latest', 'update', 'suck')",6
,,"('let', 'update', 'new')",6
,,"('good', 'application', 'not')",6
,,"('soon', 'possible', 'this')",6
,,"('new', 'update', 'lot')",6
,,"('application', 'not', 'able')",6
,,"('back', 'this', 'new')",6
,,"('this', 'application', 'horrible')",6
,,"('not', 'take', 'photo')",6
,,"('take', 'way', 'much')",6
,,"('this', 'application', 'need')",6
,,"('doe', 'even', 'work')",6
,,"('not', 'work', 'update')",6
,,"('try', 'send', 'video')",6
,,"('time', 'try', 'use')",6
,,"('application', 'constantly', 'crashing')",6
,,"('application', 'because', 'application')",6
,,"('take', 'long', 'load')",6
,,"('this', 'application', 'take')",6
,,"('picture', 'video', 'in')",6
,,"('application', 'not', 'use')",5
,,"('in', 'chat', 'new')",5
,,"('see', 'new', 'update')",5
,,"('also', 'not', 'see')",5
,,"('keep', 'saying', 'updating')",5
,,"('saved', 'in', 'memory')",5
,,"('filter', 'please', 'fix')",5
,,"('snapshot', 'update', 'not')",5
,,"('please', 'help', 'new')",5
,,"('using', 'front', 'camera')",5
,,"('please', 'look', 'into')",5
,,"('not', 'use', 'filter')",5
,,"('android', 'new', 'update')",5
,,"('last', 'two', 'update')",5
,,"('update', 'completely', 'ruined')",5
,,"('snapshot', 'this', 'new')",5
,,"('new', 'update', 'want')",5
,,"('new', 'update', 'like')",5
,,"('while', 'using', 'snapshot')",5
,,"('last', 'update', 'really')",5
,,"('new', 'update', 'every')",5
,,"('version', 'this', 'application')",5
,,"('save', 'story', 'memory')",5
,,"('new', 'update', 'crash')",5
,,"('update', 'suck', 'slow')",5
,,"('fix', 'bug', 'soon')",5
,,"('this', 'update', 'suck')",5
,,"('account', 'doe', 'not')",5
,,"('terrible', 'new', 'update')",5
,,"('not', 'save', 'memory')",5
,,"('please', 'change', 'back')",5
,,"('doe', 'anyone', 'know')",5
,,"('sometimes', 'not', 'even')",5
,,"('camera', 'roll', 'anymore')",5
,,"('compared', 'actual', 'camera')",5
,,"('not', 'update', 'phone')",5
,,"('notification', 'not', 'work')",5
,,"('ever', 'since', 'latest')",5
,,"('read', 'minute', 'ago')",5
,,"('doe', 'not', 'play')",5
,,"('did', 'not', 'update')",5
,,"('install', 'this', 'application')",5
,,"('love', 'application', 'use')",5
,,"('crash', 'least', 'time')",5
,,"('please', 'help', 'not')",5
,,"('got', 'new', 'update')",5
,,"('update', 'lot', 'bug')",5
,,"('update', 'made', 'snapshot')",5
,,"('loved', 'this', 'application')",5
,,"('broke', 'not', 'fix')",5
,,"('not', 'see', 'streak')",5
,,"('new', 'update', 'people')",5
,,"('get', 'worse', 'every')",5
,,"('recently', 'updated', 'application')",5
,,"('application', 'not', 'see')",5
,,"('problem', 'please', 'fix')",5
,,"('please', 'try', 'fix')",5
,,"('notification', 'doe', 'not')",5
,,"('half', 'time', 'not')",5
,,"('samsung', 'galaxy', 'not')",5
