trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('application', 'not', 'let')",7
,,"('hate', 'this', 'update')",7
,,"('in', 'eye', 'please')",7
,,"('doe', 'work', 'not')",7
,,"('not', 'find', 'trophy')",7
,,"('new', 'update', 'pretty')",7
,,"('update', 'did', 'not')",7
,,"('opened', 'minute', 'ago')",7
,,"('update', 'want', 'old')",7
,,"('even', 'take', 'picture')",7
,,"('not', 'move', 'camera')",7
,,"('not', 'send', 'memory')",7
,,"('horrible', 'new', 'update')",7
,,"('load', 'new', 'update')",7
,,"('not', 'save', 'sticker')",7
,,"('guy', 'need', 'fix')",7
,,"('update', 'could', 'not')",7
,,"('love', 'snapshot', 'not')",7
,,"('new', 'update', 'love')",7
,,"('ever', 'since', 'newest')",7
,,"('doe', 'not', 'seem')",7
,,"('also', 'not', 'able')",7
,,"('this', 'application', 'update')",7
,,"('roll', 'please', 'fix')",7
,,"('not', 'load', 'not')",7
,,"('message', 'week', 'ago')",7
,,"('ago', 'not', 'send')",7
,,"('chat', 'not', 'save')",7
,,"('this', 'application', 'anymore')",7
,,"('private', 'story', 'doe')",7
,,"('would', 'not', 'send')",7
,,"('not', 'post', 'anything')",7
,,"('story', 'camera', 'roll')",7
,,"('story', 'this', 'new')",7
,,"('zoomed', 'in', 'much')",7
,,"('new', 'update', 'got')",7
,,"('last', 'update', 'bad')",7
,,"('video', 'new', 'update')",7
,,"('updated', 'this', 'application')",7
,,"('make', 'this', 'application')",7
,,"('new', 'update', 'get')",7
,,"('last', 'update', 'please')",7
,,"('snapshot', 'not', 'let')",7
,,"('even', 'save', 'story')",7
,,"('notification', 'even', 'though')",7
,,"('version', 'doe', 'not')",7
,,"('this', 'issue', 'soon')",7
,,"('not', 'let', 'view')",7
,,"('get', 'back', 'older')",7
,,"('in', 'way', 'much')",7
,,"('really', 'like', 'application')",7
,,"('snap', 'not', 'load')",7
,,"('ever', 'since', 'this')",7
,,"('update', 'not', 'put')",7
,,"('update', 'fix', 'this')",7
,,"('application', 'since', 'new')",7
,,"('not', 'send', 'chat')",7
,,"('not', 'know', 'not')",7
,,"('application', 'not', 'get')",7
,,"('enjoy', 'this', 'application')",7
,,"('last', 'update', 'this')",7
,,"('new', 'update', 'much')",7
,,"('new', 'update', 'even')",7
,,"('into', 'eye', 'not')",7
,,"('could', 'give', 'star')",7
,,"('not', 'work', 'new')",7
,,"('let', 'save', 'picture')",7
,,"('new', 'update', 'always')",7
,,"('since', 'this', 'new')",7
,,"('downloaded', 'this', 'application')",7
,,"('see', 'people', 'private')",7
,,"('keep', 'crashing', 'not')",7
,,"('phone', 'new', 'update')",7
,,"('not', 'work', 'properly')",7
,,"('galaxy', 'front', 'camera')",7
,,"('this', 'application', 'time')",7
,,"('this', 'update', 'this')",7
,,"('in', 'notification', 'bar')",7
,,"('get', 'this', 'application')",7
,,"('new', 'update', 'in')",7
,,"('filter', 'not', 'work')",7
,,"('updating', 'this', 'application')",7
,,"('camera', 'roll', 'onto')",7
,,"('new', 'update', 'because')",7
,,"('new', 'update', 'would')",7
,,"('not', 'even', 'select')",7
,,"('use', 'friend', 'bitmojis')",7
,,"('this', 'new', 'android')",7
,,"('new', 'update', 'completely')",7
,,"('story', 'anymore', 'not')",7
,,"('not', 'move', 'picture')",7
,,"('camera', 'roll', 'new')",6
,,"('application', 'application', 'not')",6
,,"('this', 'problem', 'not')",6
,,"('not', 'save', 'anything')",6
,,"('snap', 'did', 'not')",6
,,"('samsung', 'galaxy', 'note')",6
,,"('not', 'use', 'this')",6
,,"('new', 'update', 'everything')",6
,,"('not', 'view', 'private')",6
,,"('update', 'snap', 'not')",6
,,"('update', 'not', 'open')",6
,,"('really', 'good', 'application')",6
,,"('get', 'notification', 'not')",6
,,"('not', 'save', 'eye')",6
,,"('please', 'bring', 'old')",6
,,"('new', 'samsung', 'galaxy')",6
,,"('love', 'snapshot', 'new')",6
,,"('please', 'new', 'update')",6
,,"('new', 'update', 'change')",6
,,"('video', 'not', 'load')",6
,,"('get', 'fixed', 'soon')",6
,,"('soon', 'possible', 'not')",6
,,"('in', 'new', 'version')",6
,,"('absolutely', 'hate', 'new')",6
,,"('also', 'doe', 'not')",6
,,"('snapshot', 'update', 'not')",6
,,"('not', 'send', 'pic')",6
,,"('please', 'resolve', 'this')",6
