trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('keep', 'in', 'touch')",7
,,"('not', 'one', 'having')",7
,,"('two', 'factor', 'authentication')",7
,,"('still', 'not', 'let')",7
,,"('in', 'keep', 'saying')",7
,,"('not', 'get', 'in')",7
,,"('not', 'know', 'going')",7
,,"('faceon', 'not', 'post')",7
,,"('bad', 'bad', 'bad')",7
,,"('able', 'get', 'back')",7
,,"('change', 'profile', 'picture')",7
,,"('comment', 'not', 'load')",7
,,"('update', 'every', 'time')",7
,,"('last', 'update', 'faceon')",7
,,"('did', 'not', 'work')",7
,,"('faceon', 'not', 'log')",7
,,"('doe', 'not', 'seem')",7
,,"('application', 'not', 'load')",7
,,"('new', 'update', 'horrible')",7
,,"('issue', 'please', 'fix')",7
,,"('this', 'application', 'load')",7
,,"('log', 'in', 'session')",7
,,"('doe', 'not', 'refresh')",7
,,"('this', 'doe', 'not')",7
,,"('post', 'comment', 'react')",7
,,"('get', 'error', 'message')",7
,,"('need', 'fixed', 'soon')",7
,,"('faceon', 'not', 'get')",7
,,"('say', 'something', 'went')",7
,,"('not', 'react', 'post')",7
,,"('new', 'update', 'keep')",7
,,"('problem', 'in', 'faceon')",7
,,"('not', 'get', 'notification')",7
,,"('last', 'update', 'application')",7
,,"('application', 'get', 'worse')",7
,,"('not', 'getting', 'notification')",7
,,"('phone', 'please', 'fix')",7
,,"('not', 'post', 'photo')",7
,,"('this', 'application', 'going')",7
,,"('everytime', 'open', 'application')",7
,,"('make', 'this', 'application')",7
,,"('time', 'log', 'in')",7
,,"('not', 'watch', 'video')",7
,,"('get', 'into', 'faceon')",7
,,"('post', 'doe', 'not')",7
,,"('problem', 'please', 'fix')",7
,,"('new', 'notification', 'not')",7
,,"('not', 'work', 'right')",7
,,"('not', 'read', 'comment')",7
,,"('unload', 'photo', 'video')",7
,,"('in', 'this', 'update')",7
,,"('not', 'able', 'react')",7
,,"('notification', 'not', 'show')",7
,,"('not', 'even', 'open')",7
,,"('not', 'see', 'post')",7
,,"('in', 'group', 'not')",7
,,"('this', 'application', 'updating')",7
,,"('not', 'instal', 'this')",7
,,"('not', 'install', 'this')",7
,,"('photo', 'please', 'fix')",7
,,"('post', 'got', 'removed')",7
,,"('open', 'faceon', 'account')",7
,,"('photo', 'profile', 'picture')",7
,,"('update', 'not', 'working')",7
,,"('not', 'use', 'this')",7
,,"('market', 'place', 'doe')",7
,,"('code', 'not', 'send')",7
,,"('get', 'act', 'together')",6
,,"('this', 'application', 'faceon')",6
,,"('comment', 'post', 'like')",6
,,"('saying', 'faceon', 'stopped')",6
,,"('still', 'not', 'able')",6
,,"('go', 'away', 'even')",6
,,"('working', 'please', 'fix')",6
,,"('recent', 'post', 'not')",6
,,"('faceon', 'not', 'work')",6
,,"('uninstaled', 'installed', 'not')",6
,,"('this', 'issue', 'please')",6
,,"('account', 'please', 'fix')",6
,,"('say', 'notification', 'not')",6
,,"('let', 'like', 'post')",6
,,"('ever', 'since', 'updated')",6
,,"('many', 'time', 'not')",6
,,"('something', 'wrong', 'this')",6
,,"('comment', 'post', 'anything')",6
,,"('see', 'old', 'post')",6
,,"('new', 'faceon', 'update')",6
,,"('anything', 'not', 'even')",6
,,"('even', 'log', 'back')",6
,,"('get', 'fixed', 'soon')",6
,,"('day', 'not', 'able')",6
,,"('send', 'friend', 'request')",6
,,"('log', 'in', 'keep')",6
,,"('application', 'did', 'not')",6
,,"('updated', 'faceon', 'application')",6
,,"('application', 'keep', 'updating')",6
,,"('comment', 'doe', 'not')",6
,,"('video', 'not', 'play')",6
,,"('today', 'not', 'post')",6
,,"('this', 'problem', 'soon')",6
,,"('updated', 'version', 'not')",6
,,"('application', 'keep', 'freezing')",6
,,"('not', 'know', 'this')",6
,,"('like', 'share', 'anything')",6
,,"('not', 'happy', 'faceon')",6
,,"('new', 'update', 'application')",6
,,"('this', 'application', 'every')",6
,,"('let', 'log', 'back')",6
,,"('post', 'not', 'let')",6
,,"('in', 'middle', 'reading')",6
,,"('update', 'not', 'even')",6
,,"('update', 'not', 'load')",6
,,"('not', 'send', 'picture')",6
,,"('share', 'post', 'anything')",6
,,"('did', 'not', 'get')",6
,,"('change', 'cover', 'pic')",6
,,"('not', 'good', 'application')",6
,,"('notification', 'please', 'fix')",6
,,"('keep', 'saying', 'faceon')",6
,,"('friend', 'post', 'faceon')",6
,,"('still', 'having', 'problem')",6
,,"('please', 'fix', 'thanks')",6
,,"('marketplace', 'doe', 'work')",6
,,"('this', 'application', 'year')",6
,,"('picture', 'not', 'load')",6
,,"('updated', 'faceon', 'not')",6
,,"('not', 'make', 'sense')",6
,,"('uninstaling', 'installing', 'application')",6
,,"('doe', 'not', 'make')",6
,,"('time', 'open', 'application')",6
,,"('cover', 'photo', 'not')",6
,,"('comment', 'react', 'anything')",6
,,"('yet', 'another', 'update')",6
,,"('like', 'new', 'update')",6
,,"('not', 'access', 'account')",6
,,"('even', 'though', 'not')",6
,,"('could', 'not', 'post')",6
,,"('in', 'please', 'fix')",6
,,"('saying', 'faceon', 'maintenance')",6
,,"('application', 'need', 'fixed')",6
,,"('hour', 'please', 'fix')",6
,,"('not', 'good', 'this')",6
,,"('not', 'open', 'application')",6
,,"('news', 'feed', 'doe')",6
,,"('updating', 'this', 'application')",6
,,"('not', 'let', 'see')",6
,,"('every', 'time', 'click')",6
,,"('see', 'recent', 'post')",6
,,"('having', 'problem', 'this')",6
,,"('faceon', 'say', 'faceon')",6
,,"('this', 'problem', 'not')",6
,,"('fix', 'application', 'please')",6
,,"('not', 'load', 'not')",6
,,"('log', 'in', 'because')",6
,,"('this', 'application', 'update')",6
,,"('take', 'much', 'time')",6
,,"('anyone', 'else', 'having')",6
,,"('people', 'may', 'know')",6
,,"('soon', 'possible', 'please')",6
,,"('doe', 'not', 'want')",6
,,"('not', 'happy', 'not')",6
,,"('not', 'send', 'code')",6
,,"('not', 'want', 'see')",6
,,"('application', 'open', 'application')",6
,,"('tried', 'instal', 'deinstal')",6
,,"('not', 'able', 'see')",6
,,"('check', 'internet', 'connection')",6
,,"('post', 'not', 'see')",6
,,"('not', 'see', 'new')",6
,,"('not', 'show', 'recent')",6
,,"('this', 'damn', 'application')",6
,,"('time', 'doe', 'not')",6
,,"('fix', 'this', 'update')",6
,,"('not', 'even', 'see')",6
,,"('faceon', 'faceon', 'not')",6
,,"('login', 'code', 'not')",6
,,"('let', 'sign', 'in')",6
,,"('frustrating', 'please', 'fix')",6
,,"('version', 'doe', 'not')",6
,,"('keep', 'coming', 'back')",6
,,"('notification', 'not', 'working')",6
,,"('seeing', 'thing', 'day')",6
,,"('something', 'int', 'broken')",6
,,"('phone', 'doe', 'not')",6
,,"('application', 'latest', 'update')",6
,,"('please', 'help', 'this')",6
,,"('faceon', 'keep', 'crashing')",6
,,"('button', 'doe', 'not')",6
,,"('profile', 'picture', 'fix')",6
,,"('see', 'photo', 'in')",6
,,"('update', 'not', 'open')",6
,,"('fix', 'market', 'place')",6
,,"('video', 'unloaded', 'faceon')",6
,,"('unloaded', 'faceon', 'page')",6
,,"('not', 'login', 'faceon')",6
,,"('application', 'notification', 'not')",5
,,"('one', 'worst', 'aps')",5
,,"('not', 'load', 'picture')",5
,,"('having', 'this', 'problem')",5
,,"('solve', 'this', 'issue')",5
,,"('help', 'fix', 'this')",5
,,"('application', 'never', 'work')",5
,,"('always', 'something', 'wrong')",5
,,"('want', 'unload', 'photo')",5
,,"('application', 'stopped', 'working')",5
,,"('working', 'not', 'post')",5
,,"('application', 'still', 'doe')",5
,,"('this', 'application', 'issue')",5
,,"('doe', 'not', 'send')",5
,,"('two', 'step', 'verification')",5
,,"('update', 'did', 'not')",5
,,"('not', 'view', 'photo')",5
,,"('log', 'back', 'into')",5
,,"('having', 'hard', 'time')",5
,,"('having', 'problem', 'faceon')",5
,,"('work', 'half', 'time')",5
,,"('log', 'in', 'application')",5
,,"('not', 'allow', 'like')",5
,,"('please', 'sort', 'this')",5
,,"('not', 'allow', 'comment')",5
,,"('update', 'not', 'like')",5
,,"('able', 'post', 'comment')",5
,,"('not', 'update', 'status')",5
,,"('code', 'did', 'not')",5
,,"('ever', 'since', 'last')",5
